Primary_Intent,Primary_URL,Query_Cluster,Status,Notes
outsourced accounting services,/,"outsourced accounting company|accounting outsourcing services|outsourced finance services|outsourced accounting firm",OWNED,Homepage owns the head category term
outsourced accounting services united states,/us/,"outsourced accounting services usa|us outsourced bookkeeping|offshore accounting for us businesses",OWNED,Region page
outsourced accounting services australia,/au/,"outsourced accounting services australia|australian outsourced bookkeeping|bas gst outsourcing",OWNED,Region page
outsourced bookkeeping services,/services/bookkeeping/,"outsourced bookkeeping company|virtual bookkeeping services|remote bookkeeping services|bookkeeping outsourcing",OWNED,Thin at 457 words for a head commercial term
outsourced payroll services,/services/payroll/,"payroll outsourcing services|outsourced payroll provider|managed payroll services",OWNED,Thin at 437 words
cfo advisory services,/services/advisory/,"outsourced cfo services|virtual cfo|fractional cfo services|financial advisory for smb",OWNED,Thin at 432 words
financial forecasting services,/services/forecasting/,"cash flow forecasting service|financial modelling service|budgeting and forecasting outsourcing",OWNED,Thin at 448 words
hospitality accounting services,/hospitality-accounting/,"restaurant accounting services|hotel bookkeeping services|hospitality bookkeeping",OWNED,Largest page on site at 1612 words
white label bookkeeping for cpa firms,/partners/,"white label accounting services|outsourcing partner for cpa firms|offshore staffing for accounting firms",OWNED,Thin at 374 words for a high-value term
month end close checklist,/guides/monthly-close-checklist,"monthly close checklist|month end closing process|accounting close checklist",OWNED,Only informational asset on the site
NONE - investor relations,/investors/,,NONE,No commercial search intent assigned
NONE - employer brand,/education-support/,,NONE,No commercial search intent assigned
NONE - newsroom,/news/,,NONE,No commercial search intent assigned
NONE - conversion page,/schedule/,,NONE,Conversion endpoint; must not compete for informational intent
NONE - entity page,/leadership,,NONE,Entity/EEAT signal only; 251 words
NONE - entity page,/events,,NONE,Entity/EEAT signal only; 501 words
NONE - sales asset,/brochure/,,NONE,ORPHAN - zero internal inlinks; reachable only via sitemap
NONE - utility,/privacy,,NONE,
NONE - utility,/terms,,NONE,
